"paper_id","paper_code","paper_title","paper_subject_id","paper_date_of_submission","paper_presentation_path","paper_contact_author_id","paper_isclose","paper_hashtag","paper_dor","paper_dirty",
"26","26","EFFECTIVE USE OF BIGDATA AND SOCIAL MEDIA INâNEONATAL INTENSIVE CARE UNIT","1","2014-09-08 00:00:00","","5502","0","","0000-00-00 00:00:00","0",
"27","27","A Distributed Fair Channel Scheduling in Multi Channel Multi Interface Wireless Mesh Networks","1","2014-09-10 00:00:00","","5513","0","","0000-00-00 00:00:00","0",
"28","28","aliens are happier","1","2014-09-14 00:00:00","","3747","0","","0000-00-00 00:00:00","0",
"29","29","Rescue Alert Using Android Smartphone","1","2014-09-17 00:00:00","","5531","0","","0000-00-00 00:00:00","0",
"30","30","DBpedia based SAWSDL for Semantic Web Services","1","2014-09-18 00:00:00","","5539","0","","0000-00-00 00:00:00","0",
"31","31","Comparative Analysis of LSB, DCT and DWT for Digital Watermarking","1","2014-10-10 00:00:00","","5542","0","","0000-00-00 00:00:00","0",
"32","32","Mulyankan A Prediction for Studentâs Performance Using Neural Network","1","2014-10-14 00:00:00","","5542","0","","0000-00-00 00:00:00","0",
"33","33","Testing Paper 1308","1","2014-09-19 00:00:00","","1588","1","","0000-00-00 00:00:00","0",
"34","34","Use of WSN for Detection of Metal Landmines Using Unmanned Vehicle","1","2014-10-23 00:00:00","","5548","0","","0000-00-00 00:00:00","0",
"35","35","From Big Data to Big values:  A Big Science leading to a Revolution","1","2014-09-21 00:00:00","INDIACom15_35_presentation (1).ppt","5552","0","","0000-00-00 00:00:00","0",
"36","36","NON HOMOGENEOUS CLOUD COMPUTING ENVIRONMENT BY STATISTICAL ANALYSIS","1","2014-09-22 00:00:00","","4502","0","","0000-00-00 00:00:00","0",
"37","37","A Correlation Between Tree  Search and Constraint Satisfaction Problems","1","2014-11-03 00:00:00","","5512","0","","0000-00-00 00:00:00","0",
"38","38","Experimental & Simulated Analysis of DoS Attacks in Wireless Ad Hoc Network: A Case of Black Hole","1","2014-09-22 00:00:00","","5512","0","","0000-00-00 00:00:00","0",
"39","39","MULTI-TOUCH AUTHENTICATION FRAMEWORK FOR CLOUD SECRECY OVER HIDDEN DATA","1","2014-09-23 00:00:00","","5554","0","","0000-00-00 00:00:00","0",
"40","40","Design of Novel Inverter and Buffer in Quantum-dot Cellular Automata (QCA)","1","2014-09-30 00:00:00","","5563","0","","0000-00-00 00:00:00","0",
"41","41","Effective Image Enhancement using Hybrid Multi Resolution Image Fusion Approach","1","2014-09-30 00:00:00","","5567","0","","0000-00-00 00:00:00","0",
"42","42","Cross-Layer Design for Wireless Sensor Networks: A Survey","1","2014-10-13 00:00:00","INDIACom15_42_presentation (1).docx","5570","0","","0000-00-00 00:00:00","0",
"43","43","Rumor Riding: Anonymizing Unstructured Peer-to-Peer Systems","1","2014-09-27 00:00:00","","5572","0","","0000-00-00 00:00:00","0",
"44","44","Implementation of security in secure network","1","2014-09-28 00:00:00","","5576","0","","0000-00-00 00:00:00","0",
"45","45","Deterministic Approach for performance efficiency in cloud computing","1","2014-09-29 00:00:00","","5574","0","","0000-00-00 00:00:00","0",
"46","46","Modification over C_Look disk scheduling","1","2014-09-29 00:00:00","","5571","0","","0000-00-00 00:00:00","0",
"47","47","Nearest Neighbor Insertion Algorithm for solving capacitated vehicle routing problem","1","2014-10-01 00:00:00","","5589","0","","0000-00-00 00:00:00","0",
"48","48","Linear Algorithm for Imbricate Cryptography Using Pseudo Random Number Generator","1","2014-10-01 00:00:00","INDIACom15_48_presentation (2).pptx","4150","0","","0000-00-00 00:00:00","0",
"49","49","An Exhaustive Review for Infix to Postfix Conversion with Applications and Benefits","1","2014-10-09 00:00:00","INDIACom15_49_presentation (5).doc","4150","0","","0000-00-00 00:00:00","0",
"50","50","Security of Data Transmission Using Logic Gates And Crypt Analysis","1","2014-10-01 00:00:00","INDIACom15_50_presentation (3).pptx","4150","0","","0000-00-00 00:00:00","0",
"51","51","AN INSIGHT INTO THE SECURITY ISSUES AND THEIR SOLUTIONS FOR ANDROID PHONES","1","2014-11-11 00:00:00","INDIACom15_51_presentation (3).pptx","5588","0","","0000-00-00 00:00:00","0",
"52","52","Apriori algorithm with Map Reduce for optimizing big data","1","2014-10-03 00:00:00","","4221","0","","0000-00-00 00:00:00","0",
"53","53","Identity-Based Key Agreement for Wireless Sensor Networks using Cryptographic Techniques","1","2014-10-05 00:00:00","","5603","0","","0000-00-00 00:00:00","0",
"54","54","Comparative Research on Genetic Algorithm, Particle Swarm Optimization and Hybrid GA-PSO","1","2014-10-06 00:00:00","","5607","0","","0000-00-00 00:00:00","0",
"55","55","test paper oct 6","1","2014-10-06 00:00:00","","2","1","","0000-00-00 00:00:00","0",
"56","56","test paper1 oct 6","1","2014-10-06 00:00:00","","2","1","","0000-00-00 00:00:00","0",
"57","57","test paper2 oct 6","1","2014-10-06 00:00:00","","2","1","","0000-00-00 00:00:00","0",
"58","58","4th 0ct","1","2014-10-07 00:00:00","","2","1","","0000-00-00 00:00:00","0",
"59","59","DEVELOPMENT OF MULTI CONTROL VISION BASED UNMANNED  GROUND VEHICLE","1","2014-10-10 00:00:00","","5467","0","","0000-00-00 00:00:00","0",
"60","60","A Decade Of Cyber Crime in India","1","2014-10-10 00:00:00","","5629","0","","0000-00-00 00:00:00","0",
"61","61","A Cluster-based Multi-keyword Search on Outsourced Encrypted Cloud Data","1","2014-10-13 00:00:00","","5634","0","","0000-00-00 00:00:00","0",
"62","62","RESEARCH PAPER ON ""RFID BASED ADVANCED ATTENDANCE SYSTEM USING UTLP KIT ""","1","2014-10-16 00:00:00","","5653","0","","0000-00-00 00:00:00","0",
"63","63","Implementation of Adaptive Noise Canceller","1","2014-10-16 00:00:00","","5656","0","","0000-00-00 00:00:00","0",
"64","64","Recurrent Neural Network Model For Bidirectional Associative Memory","1","2014-12-09 00:00:00","INDIACom15_64_presentation (2).doc","5636","0","","0000-00-00 00:00:00","0",
"65","65","A Study of an Digital Audio Watermarking using DCT Technique","1","2014-10-17 00:00:00","","5659","0","","0000-00-00 00:00:00","0",
"66","66","High Speed 16-bit Digital Vedic Multiplier using FPGA","1","2014-10-17 00:00:00","","5664","0","","0000-00-00 00:00:00","0",
"67","67","Efficient Technique to Remove Shadow","1","2014-10-17 00:00:00","","5506","0","","0000-00-00 00:00:00","0",
"68","68","Tracking Objects using Shadow Removal Technique","1","2014-10-17 00:00:00","","5506","0","","0000-00-00 00:00:00","0",
"69","69","A Survey: Intrusion Detection System Based on Data Mining Techniques","1","2014-10-18 00:00:00","","5665","0","","0000-00-00 00:00:00","0",
"70","70","Optimization of Cooperative Spectrum Sensing Using Fuzzy Logic","1","2014-10-19 00:00:00","","5668","0","","0000-00-00 00:00:00","0",
"71","71","Reversible data hiding in encrypted color images by reservingh room before encryption with LSB method","1","2014-10-19 00:00:00","","5669","0","","0000-00-00 00:00:00","0",
"72","72","A Competencies on Multimode Monitoring of Electromyographic Signals with USB interface Human Computer Interaction","1","2014-10-20 00:00:00","","5671","0","","0000-00-00 00:00:00","0",
"73","73","Kansei Engineering System for Test Generation  Using Multi-objective Optimization","1","2014-10-21 00:00:00","","4757","0","","0000-00-00 00:00:00","0",
"74","74","A New Approach to Ranking Algorithm-Custom Personalized Searching","1","2014-10-21 00:00:00","","5678","0","","0000-00-00 00:00:00","0",
"75","75","Big Data Mining Using Data Intensive Scalable Computing for web","1","2014-10-23 00:00:00","","5683","0","","0000-00-00 00:00:00","0",
"76","76","Mitigation Algorithm against Black hole attack using Real Time Monitoring for AODV routing protocol in MANET","1","2014-10-23 00:00:00","INDIACom15_76_presentation (2).pdf","5446","0","","0000-00-00 00:00:00","0",
"77","77","Comparative Analysis of Image Filtering Techniques","1","2014-10-24 00:00:00","","1919","0","","0000-00-00 00:00:00","0",
"78","78","DESIGN OF DEFENCE MECHANISM TO FIGHT AGAINST SHOULDER SURFING ATTACK USING USER FRIENDLY PIN ENTRY METHOD","1","2014-10-24 00:00:00","","5684","0","","0000-00-00 00:00:00","0",
"79","79","Improving Quality of Service Constraints of Cloud Data Centers","1","2014-10-26 00:00:00","","5689","0","","0000-00-00 00:00:00","0",
"80","80","Built - in testing component-based software- A mapping study","1","2014-10-27 00:00:00","","5695","0","","0000-00-00 00:00:00","0",
"81","81","A NOVEL APPROACH FOR VEHICLE TRACKING SYSTEM for TRAFFIC JAM PROBLEM","1","2014-10-27 00:00:00","INDIACom15_81_presentation (2).pptx","4150","0","","0000-00-00 00:00:00","0",
"82","82","A Hybrid Approach for Visibility  Enhancement in Foggy Image","1","2014-11-07 00:00:00","","5667","0","","0000-00-00 00:00:00","0",
"83","83","Implementation of Green Energy Initiatives in India: Status, Challenges, and Solutions","1","2014-10-28 00:00:00","","5119","0","","0000-00-00 00:00:00","0",
"84","84","Energy analysis of LEACH & DIRECTED DIFFUSION Protocols using NS2.34","1","2014-10-29 00:00:00","","1223","0","","0000-00-00 00:00:00","0",
"85","85","Improvement of LAR1 Routing Protocol","1","2014-11-10 00:00:00","","5714","0","","0000-00-00 00:00:00","0",
"86","86","A Model for Privacy Preserving in Data Mining using Soft Computing Techniques","1","2014-12-06 00:00:00","","5716","0","","0000-00-00 00:00:00","0",
"87","87","Palm print feature analysis based on Hough transforms.","1","2014-10-29 00:00:00","INDIACom15_87_presentation (1).docx","5717","0","","0000-00-00 00:00:00","0",
"88","88","test2","1","2014-10-30 00:00:00","","1289","1","","0000-00-00 00:00:00","0",
"89","89","test3","1","2014-10-30 00:00:00","","1289","1","","0000-00-00 00:00:00","0",
"90","90","Design and Analysis of Odd/Even Parity Generator and Parity Checker in Quantum-dot Cellular Automata","1","2014-12-15 00:00:00","","5563","0","","0000-00-00 00:00:00","0",
"91","91","test4","1","2014-10-30 00:00:00","","1289","1","","0000-00-00 00:00:00","0",
"92","92","test5","1","2014-10-30 00:00:00","","1289","1","","0000-00-00 00:00:00","0",
"93","93","test6","1","2014-10-30 00:00:00","","1289","1","","0000-00-00 00:00:00","0",
"94","94","test7","1","2014-10-30 00:00:00","","1289","1","","0000-00-00 00:00:00","0",
"95","95","test8","1","2014-10-30 00:00:00","","1289","1","","0000-00-00 00:00:00","0",
"96","96","test9","1","2014-10-30 00:00:00","","1289","1","","0000-00-00 00:00:00","0",
"97","97","test10","1","2014-10-30 00:00:00","","1289","1","","0000-00-00 00:00:00","0",
"98","98","Numerical Analysis of Modified Routh Approximation for Model Order Reduction","1","2014-10-30 00:00:00","","5632","0","","0000-00-00 00:00:00","0",
"99","99","Palm print recognition using Hough transforms.","1","2014-10-30 00:00:00","","5722","0","","0000-00-00 00:00:00","0",
"100","100","XY Title for TEst Paper","1","2014-10-30 00:00:00","","1","1","","0000-00-00 00:00:00","0",
"101","101","Unsupervised Hindi Word Sense Disambiguation based on Network Agglomeration","1","2014-10-31 00:00:00","","5694","0","","0000-00-00 00:00:00","0",
"102","102","A Prologue of JENKINS with Comparative Scrutiny of Various Software Integration Tools","1","2014-11-01 00:00:00","","5345","0","","0000-00-00 00:00:00","0",
"103","103","Big Data Problems and solutions using cloud computing","1","2014-11-01 00:00:00","","5731","0","","0000-00-00 00:00:00","0",
"104","104","Software Inspection, Verification for Medical Devices","1","2014-11-01 00:00:00","","5513","0","","0000-00-00 00:00:00","0",
"105","105","Automatic Household Power Measurement & Control System based on Wireless Sensor Networks","1","2014-11-03 00:00:00","","5546","0","","0000-00-00 00:00:00","0",
"106","106","System call","1","2014-11-01 00:00:00","","5732","0","","0000-00-00 00:00:00","0",
"107","107","Anomaly-based Network Intrusion Detection Systems based on Neural Network","1","2014-11-11 00:00:00","","5738","0","","0000-00-00 00:00:00","0",
"108","108","UNEQUAL POWER ALLOCATION FOR IMAGE TRANSMISSION WITH  CHAOTIC COMMUNICATION","1","2014-11-11 00:00:00","","5739","0","","0000-00-00 00:00:00","0",
"109","109","SEO","1","2014-11-02 00:00:00","","5727","0","","0000-00-00 00:00:00","0",
"110","110","Trial X Paper","1","2014-11-02 00:00:00","","1","1","","0000-00-00 00:00:00","0",
"111","111","X Paper as Trial One","1","2014-11-02 00:00:00","","1","1","","0000-00-00 00:00:00","0",
"112","112","SEO IS A GAME OF PAGE RANKING","1","2014-11-05 00:00:00","","5740","0","","0000-00-00 00:00:00","0",
"113","113","Manage Supply Chain Management Using Multi-Agent System For Multi-brand Retail","1","2014-11-03 00:00:00","","5743","0","","0000-00-00 00:00:00","0",
"114","114","Reducing Model Ordering through amending sequences of Routh Approximation","1","2014-11-03 00:00:00","","5649","0","","0000-00-00 00:00:00","0",
"115","115","A Data Mining approach to predict usersâ Next Question in QA system","1","2014-12-01 00:00:00","","5745","0","","0000-00-00 00:00:00","0",
"116","116","validation of DW requirement model traceability metrics using formal framework","1","2014-11-03 00:00:00","","5679","0","","0000-00-00 00:00:00","0",
"117","117","Data Hiding Mechanism on Encrypted Image","1","2014-11-03 00:00:00","","5749","0","","0000-00-00 00:00:00","0",
"118","118","A Review on Visual Brain Computer Interface","1","2014-11-03 00:00:00","","5746","0","","0000-00-00 00:00:00","0",
"119","119","Automated Test Case Generation using Nature Inspired Mata Heuristics- Genetic Algorithms: A Review Paper","1","2014-11-03 00:00:00","","5759","0","","0000-00-00 00:00:00","0",
"120","120","Resilience, survivability and availability in WDM optical mesh network","1","2014-11-04 00:00:00","INDIACom15_120_presentation (1).ppt","5633","0","","0000-00-00 00:00:00","0",
"121","121","A SURVEY ON ONLINE FORUM HOTSPOT DETECTION","1","2014-11-04 00:00:00","","5762","0","","0000-00-00 00:00:00","0",
"122","122","An Integrated G.R.E.E.N. Practice Model for Healthcare with focus on Hospitals","1","2014-11-04 00:00:00","","5511","0","","0000-00-00 00:00:00","0",
"123","123","SOFTWARE FAULT PREDICTION PERFORMANCE IN SOFTWARE ENGINEERING","1","2014-11-05 00:00:00","","5614","0","","0000-00-00 00:00:00","0",
"124","124","Magnetically Levitated Solar Motor","1","2014-11-05 00:00:00","","5761","0","","0000-00-00 00:00:00","0",
"125","125","Security Threats and Solutions in Cloud Computing","1","2014-11-05 00:00:00","","5773","0","","0000-00-00 00:00:00","0",
"126","126","Technocrat Hadoop Scheduling Algorithm for Heterogeneous & Homogeneous Cluster Workload Users","1","2014-11-05 00:00:00","","5697","0","","0000-00-00 00:00:00","0",
"127","127","Impact Analysis and Detection Method of Malicious Node Misbehavior over Mobile Adhoc Network","1","2014-11-05 00:00:00","","5779","0","","0000-00-00 00:00:00","0",
"128","128","An improved teaching-learning-based optimization algorithm applied to the design of linear phase digital FIR filter","1","2014-11-05 00:00:00","","4570","0","","0000-00-00 00:00:00","0",
"129","129","Development of ePPMS for Research Proposals based on integrated spring and Hibernate Framework","1","2014-11-06 00:00:00","","5786","0","","0000-00-00 00:00:00","0",
"130","130","Vehicle to Vehicle Safety Device","1","2014-11-06 00:00:00","","5723","0","","0000-00-00 00:00:00","0",
"131","131","Performance Analysis of Spectral Weighting Techniques for Smart Antenna Systems","1","2014-11-06 00:00:00","","2324","0","","0000-00-00 00:00:00","0",
"132","132","Optimum Management of Resource in Cloud Computing Environment: A Challenge","1","2015-01-19 00:00:00","","197","0","","0000-00-00 00:00:00","0",
"133","133","fhghg","1","2014-11-06 00:00:00","","5799","0","","0000-00-00 00:00:00","0",
"134","134","Strategies for Mining Opinions: A Survey","1","2014-11-07 00:00:00","","5775","0","","0000-00-00 00:00:00","0",
"135","135","Document Clustering for Forensic Analysis","1","2014-11-07 00:00:00","","5802","0","","0000-00-00 00:00:00","0",
"136","136","F:Paper on conferencewimaxReport_Integration of Wireless Network in WiMAX and Wi-Fi Wireless Technology Communication_Final","1","2015-01-13 00:00:00","","5768","0","","0000-00-00 00:00:00","0",
"137","137","An Effective Efficiency Analysis Of Random Key Cryptography Over RSA","1","2014-11-07 00:00:00","INDIACom15_137_presentation (1).pptx","5625","0","","0000-00-00 00:00:00","0",
"138","138","Static and Dynamic Malware Behavioral Analysis Based on Arm Based Board","1","2014-11-07 00:00:00","","5809","0","","0000-00-00 00:00:00","0",
"139","139","A Novel Image Steganographic approach by Pixel Position Modulus Method (PPMM)","1","2014-11-07 00:00:00","INDIACom15_139_presentation (1).doc","5782","0","","0000-00-00 00:00:00","0",
"140","140","Health services support system (HESS): An Ontology supported CBR system for cognitive diagnosis applied on HIV/AIDS detection","1","2014-11-07 00:00:00","","187","0","","0000-00-00 00:00:00","0",
"141","141","Comparative Study of legal aspects of e-commerce in the light of Electronic contract among the developing countries","1","2014-12-17 00:00:00","","5820","0","","0000-00-00 00:00:00","0",
"142","142","An Overview and Detailed Analysis of Green Computing Approach in IT Industries","1","2014-11-07 00:00:00","","4150","0","","0000-00-00 00:00:00","0",
"143","143","Mathematic in Cryptography","1","2014-12-21 00:00:00","","5792","0","","0000-00-00 00:00:00","0",
"144","144","Performance Analysis of Energy-Efficient MAC Protocols for Underwater Sensor Networks","1","2014-12-15 00:00:00","INDIACom15_144_presentation (1).pptx","5819","0","","0000-00-00 00:00:00","0",
"145","145","A Survey of Clustering Techniques and Algorithms","1","2014-11-07 00:00:00","","5824","0","","0000-00-00 00:00:00","0",
"146","146","Data-Driven Modelling and Simulation of PV Array","1","2014-11-07 00:00:00","","5825","0","","0000-00-00 00:00:00","0",
"147","147","Improved BM algorithm based on IDS","1","2014-11-22 00:00:00","","5796","0","","0000-00-00 00:00:00","0",
"148","148","Subjective and Assessable Exploration of India-Israel Defense Relationship","1","2014-12-03 00:00:00","INDIACom15_148_presentation (1).pptx","5793","0","","0000-00-00 00:00:00","0",
"149","149","Decide a Serene Hospital at Your Urgency","1","2014-12-22 00:00:00","","5838","0","","0000-00-00 00:00:00","0",
"150","150","Cloud Computing Implementation: Issues and Solutions","1","2014-12-01 00:00:00","","5845","0","","0000-00-00 00:00:00","0",
"151","151","Application of Discrete Fourier Transform on Multispectral Image of Bareilly Region","1","2014-11-08 00:00:00","","5815","0","","0000-00-00 00:00:00","0",
"152","152","A Comprehensive Survey Of  Routing Protocols In WSN","1","2014-11-08 00:00:00","","5852","0","","0000-00-00 00:00:00","0",
"153","153","Study on predicting for workload of cloud services using Artificial Neural Network.","1","2014-11-08 00:00:00","","4937","0","","0000-00-00 00:00:00","0",
"154","154","Recognition of Abnormal Human Activity using the changes in orientation of silhouette in key frames","1","2014-11-08 00:00:00","","5855","0","","0000-00-00 00:00:00","0",
"155","155","DDoS Tools:Classification ,Analysis and Comparison","1","2014-11-08 00:00:00","","5821","0","","0000-00-00 00:00:00","0",
"156","156","Music Therapy and Data Mining using Indian Ragas as a supplementary Medicine","1","2014-12-02 00:00:00","","1514","0","","0000-00-00 00:00:00","0",
"157","157","Procedure for Cepstral Analysis in Tracing Unique Voice Segments","1","2014-12-08 00:00:00","","5866","0","","0000-00-00 00:00:00","0",
"158","158","Open Research Areas in Risk ModelingforHFT, Algorithms Trading and Dark Pools","1","2014-11-08 00:00:00","INDIACom15_158_presentation (1).pptx","5793","0","","0000-00-00 00:00:00","0",
"159","159","FRAMEWORK FOR ATM BANKING SYSTEM USING 3G GSM","1","2014-11-08 00:00:00","","5865","0","","0000-00-00 00:00:00","0",
"160","160","Hadoop Architecture: Expanding MapReduce for Everyone","1","2014-11-08 00:00:00","","5869","0","","0000-00-00 00:00:00","0",
"161","161","A New DCT DWT Feature Extraction Technique for Facial Expression REcognition","1","2014-11-08 00:00:00","","5527","0","","0000-00-00 00:00:00","0",
"162","162","Artificial Immune System Research in the past years-an overview of   existing methods, new initiatives and applications in Information Security Systems.","1","2014-11-09 00:00:00","","5861","0","","0000-00-00 00:00:00","0",
"163","163","Secured Data Communication System using RSA with Mersenne Prime and Steganography","1","2014-11-09 00:00:00","","5834","0","","0000-00-00 00:00:00","0",
"164","164","Load Balancing And Performance Efficiency In Big Data And P2P Networks With Cloud","1","2014-11-09 00:00:00","","5880","0","","0000-00-00 00:00:00","0",
"165","165","An Assessment of E-Governance Infrastructure on Security: A Case Study","1","2014-12-08 00:00:00","","4328","0","","0000-00-00 00:00:00","0",
"166","166","Design and Implementation of 4-Bit & 8-Bit Reversible Arithmetic Logic Unit using Quantum Dot Cellular Automata","1","2015-01-19 00:00:00","","2419","0","","0000-00-00 00:00:00","0",
"167","167","Effect of core ordering on application mapping onto mesh based network-on-chip design","1","2014-11-09 00:00:00","","5879","0","","0000-00-00 00:00:00","0",
"168","168","Comparison between the Design of Various Logic Gates using QCA & CMOS Technology","1","2015-01-20 00:00:00","","2419","0","","0000-00-00 00:00:00","0",
"169","169","IT Quiz Paper","1","2014-11-09 00:00:00","","1588","0","","0000-00-00 00:00:00","0",
"170","170","A Loom for Revealing Selfish and Malicious Node in Cluster Based Ad hoc Wireless Networks","1","2014-11-09 00:00:00","","5839","0","","0000-00-00 00:00:00","0",
"171","171","G-LEACH :An Improvement on LEACH Protocol for Wireless Sensor Network","1","2015-01-08 00:00:00","","5895","0","","0000-00-00 00:00:00","0",
"172","172","Creation of an Adaptive Classifier to Enhance the Classification Accuracy of Existing Classification Algorithms in the Field of Medical Data Mining","1","2014-12-29 00:00:00","","5774","0","","0000-00-00 00:00:00","0",
"173","173","Implementation of ICMP Based Network Management System for Heterogeneous Network","1","2014-11-09 00:00:00","","5898","0","","0000-00-00 00:00:00","0",
"174","174","A Low Overhead Dynamic Memory Management System for Constrained Memory Embedded Devices","1","2014-11-09 00:00:00","","5905","0","","0000-00-00 00:00:00","0",
"175","175","ETL Process in Data Migration","1","2014-12-17 00:00:00","","5890","0","","0000-00-00 00:00:00","0",
"176","176","An overview on the combination of Human  Intelligence and Machine Intelligence to achive Human Level  Machine Intelligenceâ","1","2014-12-15 00:00:00","","5890","0","","0000-00-00 00:00:00","0",
"177","177","Digita Jewelry - A Fashionable Leap in the field of wireless networking","1","2014-12-07 00:00:00","","5772","0","","0000-00-00 00:00:00","0",
"178","178","COMPARISON OF VARIOUS EDGE DETECTION TECHNIQUES","1","2014-11-09 00:00:00","","5828","0","","0000-00-00 00:00:00","0",
"179","179","Comparative Study of Techniques to improve Efficiency of Association Rule Mining","1","2014-11-09 00:00:00","","5917","0","","0000-00-00 00:00:00","0",
"180","180","Internet Protocol Versions â A review","1","2014-12-06 00:00:00","","5776","0","","0000-00-00 00:00:00","0",
"181","181","Analysis of software Fault Detection and Correction Processes with Log-logistic Testing-Effort","1","2014-11-09 00:00:00","","5916","0","","0000-00-00 00:00:00","0",
"182","182","A Review on the development of Multi Agent Systems Using Fuzzy Logic","1","2014-11-09 00:00:00","","5918","0","","0000-00-00 00:00:00","0",
"183","183","big data analytics","1","2014-11-09 00:00:00","","5926","0","","0000-00-00 00:00:00","0",
"184","184","DUCUMENT MANAGEMENT SYSTEM: AN EXPLICIT KNOWLEDGE MANAGEMENT SYSTEM","1","2014-11-09 00:00:00","","2148","0","","0000-00-00 00:00:00","0",
"185","185","Dynamic IPv6 Activation based Defense for IPv6 Router Advertisement flooding (DoS) Attack","1","2014-11-09 00:00:00","INDIACom15_185_presentation (1).doc","5933","0","","0000-00-00 00:00:00","0",
"186","186","TASK COLLABERATIVE DIGITAL ORDERING SYSTEM FOR RESTAURANT USING HANDHELD DEVICES","1","2014-12-10 00:00:00","","5871","0","","0000-00-00 00:00:00","0",
"187","187","An RF Relay Based Control and Communication System for Unmanned Ground Vehicle and Micro Air Vehicle","1","2014-11-09 00:00:00","","5832","0","","0000-00-00 00:00:00","0",
"188","188","Clustering Techniques in Data Mining: A Comparison","1","2014-11-09 00:00:00","","5735","0","","0000-00-00 00:00:00","0",
"189","189","Classification of IRS LISS-III images using PNN","1","2014-12-19 00:00:00","","5937","0","","0000-00-00 00:00:00","0",
"190","190","Ontology based Framework for Automatic Softwareâs Documentation","1","2014-11-09 00:00:00","","5873","0","","0000-00-00 00:00:00","0",
"191","191","Devanagari Offline Handwritten Numeral and Character Recognition using Multiple Features and Neural Network Classifier","1","2014-11-10 00:00:00","","5726","0","","0000-00-00 00:00:00","0",
"192","192","An intrusive way to detect Coordinated Attacks using CIDS","1","2014-11-10 00:00:00","","5940","0","","0000-00-00 00:00:00","0",
"193","193","Role of MAS Methodology in System design","1","2015-01-07 00:00:00","","2654","0","","0000-00-00 00:00:00","0",
"194","194","Quant Techniques and Regime Analysis for Increase in Trade & Business between India and Israel","1","2014-11-10 00:00:00","INDIACom15_194_presentation (1).pptx","5793","0","","0000-00-00 00:00:00","0",
"195","195","Artificial Neural Networks for predictability of All India Rainfall using historical time series","1","2015-01-05 00:00:00","","5947","0","","0000-00-00 00:00:00","0",
